Country Name,,,,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Costa Rica,,,,75.26881409,77.00534821,74.46808624,70.37036896,72.48677063,63.05418777,65.36585236,70.24390411,71.8446579,71.8446579,73.20574188,72.85713959,72.03791809,72.03791809,70.61611176,75,75,75,66.34615326,68.75,72.59615326,75,67.78845978
United Kingdom,,,,95.16129303,96.25668335,95.74468231,94.708992,95.23809814,94.58128357,94.63414764,92.68292999,92.71844482,92.23300934,91.86602783,92.38095093,92.41706085,92.89099884,93.3649292,93.2692337,93.75,94.2307663,95.19230652,94.2307663,93.75,94.2307663,93.2692337
